"","state","Lat","Lon","Total","BNT","BNI","TBT","BBI","TBI","TBIR","year_start","year_end"
"166","ME",44.0517,-69.5714,151,0.059602649,0.264900663,0.238410596,0.01986755,0.01986755,0.225165563,1662,1835
"167","ME",44.0428,-70.6871,268,0.082089552,0.078358209,0.593283583,0.02238806,0,0.082089552,1662,1835
"168","NH",44.04,-71.2433,159,0.125786163,0.044025157,0.591194969,0.006289308,0,0.025157233,1673,1850
"169","ME",44.039,-70.397,90,0.011111111,0.244444444,0.266666667,0.1,0,0.366666667,1662,1835
"170","NH",44.0383,-71.8767,159,0.270440252,0,0.704402516,0,0,0,1673,1850
"171","ME",44.0277,-69.2199,58,0.5,0.086206897,0.189655172,0,0,0.189655172,1662,1835
"172","NH",44.0183,-71.0717,588,0.120748299,0.295918367,0.346938776,0.039115646,0.00170068,0.078231293,1673,1850
"173","NH",44,-71.73,216,0.462962963,0,0.449074074,0,0,0,1673,1850
"174","ME",43.9693,-69.6297,99,0.333333333,0.212121212,0.191919192,0.050505051,0,0.01010101,1662,1835
"175","ME",43.969,-70.2812,246,0.117886179,0.028455285,0.512195122,0.004065041,0,0.004065041,1662,1835
"176","ME",43.96,-69.97,54,0.203703704,0.148148148,0.462962965,0,0,0.092592593,1662,1835
"177","ME",43.96,-70.48,64,0,0.15625,0.5,0.03125,0,0.0625,1662,1835
"178","ME",43.96,-69.79,179,0.094972067,0.212290502,0.25698324,0.011173184,0,0.245810056,1662,1835
"179","ME",43.9508,-69.4973,396,0.242424243,0.118686869,0.285353535,0.015151515,0.002525253,0.227272727,1662,1835
"180","ME",43.93,-70.88,275,0.043636364,0.28,0.396363636,0.036363636,0,0.123636364,1662,1835
"181","NH",43.905,-72.0817,145,0.186206897,0.013793103,0.565517241,0.034482759,0,0.006896552,1673,1850
"182","ME",43.8859,-70.353,76,0.131578947,0.092105263,0.434210527,0.118421053,0,0.052631579,1662,1835
"183","ME",43.865,-69.6307,307,0.32247557,0.169381107,0.241042346,0.029315961,0,0.110749186,1662,1835
"184","ME",43.8464,-69.7886,184,0.288043478,0.190217392,0.206521739,0.005434783,0.010869565,0.179347826,1662,1835
"185","ME",43.8433,-70.1763,374,0.171122995,0.042780749,0.457219252,0.002673797,0.002673797,0.069518717,1662,1835
"186","NH",43.84,-71.81,572,0.239510489,0.02972028,0.510489511,0,0.001748252,0.027972028,1673,1850
"187","NH",43.82,-71.65,476,0.163865547,0.050420168,0.533613444,0,0.006302521,0.018907563,1673,1850
"188","NH",43.77,-71.98,180,0.361111111,0,0.538888889,0,0,0,1673,1850
"189","NH",43.74,-71.5883,267,0.007490637,0.086142322,0.411985019,0.011235955,0,0.382022472,1673,1850
"190","NH",43.74,-71.1,180,0.077777778,0.355555556,0.311111112,0.044444444,0,0.116666667,1673,1850
"191","NH",43.74,-71.86,52,0.192307692,0,0.557692307,0,0,0,1673,1850
"192","NH",43.7374,-71.72766,149,0.060402685,0.040268456,0.657718121,0.006711409,0,0.067114094,1673,1850
"193","NH",43.71,-72.21,472,0.033898305,0.019067797,0.705508475,0.004237288,0,0.008474576,1673,1850
"194","ME",43.695,-70.2987,594,0.03030303,0.227272727,0.234006734,0.025252525,0.006734006,0.378787879,1662,1835
"195","ME",43.65,-70.54,167,0.047904192,0.131736527,0.473053894,0.05988024,0,0.161676647,1662,1835
"196","NH",43.6433,-72.2617,535,0.003738318,0.138317757,0.54953271,0.001869159,0.003738318,0.041121495,1673,1850
"197","ME",43.5833,-70.3517,482,0.058091287,0.278008299,0.323651453,0.018672199,0.006224067,0.168049793,1662,1835
"198","NH",43.5797,-71.5838,121,0.008264463,0.173553719,0.43801653,0,0,0.20661157,1673,1850
"199","NH",43.56,-72.29,179,0,0.083798883,0.597765364,0,0,0.005586592,1673,1850
"200","NH",43.53,-72.16,250,0.228,0.016,0.552,0,0.008,0,1673,1850
"201","ME",43.51,-70.44,131,0.015267176,0.297709924,0.152671756,0.015267176,0.007633588,0.458015267,1662,1835
"202","ME",43.5,-70.65,86,0.011627907,0.406976744,0.11627907,0.034883721,0,0.395348837,1662,1835
"203","NH",43.4564,-71.411,69,0.086956522,0.101449275,0.536231884,0.014492754,0.014492754,0.115942029,1673,1850
"204","ME",43.42,-70.49,211,0.033175355,0.289099526,0.317535544,0.014218009,0,0.303317536,1662,1835
"205","NH",43.38,-71.77,1023,0.013685239,0.099706745,0.586510264,0.008797654,0.000977517,0.138807429,1673,1850
"206","NH",43.38,-72.34,133,0.030075188,0.135338346,0.511278196,0,0.007518797,0.030075188,1673,1850
"207","NH",43.37,-72.21,491,0.138492872,0.022403259,0.553971487,0.00203666,0,0,1673,1850
"208","NH",43.37,-71.23,98,0.081632653,0.132653061,0.428571429,0,0,0.214285714,1673,1850
"209","NH",43.352,-71.55,845,0.040236686,0.217751479,0.413017753,0,0,0.184615385,1673,1850
"210","ME",43.35,-70.59,104,0,0.490384615,0.153846154,0.048076923,0,0.259615385,1662,1835
"211","NH",43.3217,-71.4383,367,0.079019073,0.177111717,0.501362398,0.005449591,0,0.054495913,1673,1850
"212","ME",43.32,-70.81,150,0,0.22,0.273333334,0.02,0.013333333,0.42,1662,1835
"213","NH",43.31,-71.69,373,0.013404826,0.222520107,0.345844504,0.029490617,0,0.257372654,1673,1850
"214","NH",43.295,-72.2583,153,0.065359477,0.006535948,0.777777778,0,0,0.006535948,1673,1850
"215","NH",43.27,-71.83,797,0.056461731,0.102885822,0.614805521,0.007528231,0.00250941,0.067754078,1673,1850
"216","NH",43.2483,-72.3817,113,0,0.203539823,0.389380532,0.008849558,0.017699115,0.212389381,1673,1850
"217","NH",43.24,-71.56,1551,0.003223727,0.341070277,0.202450032,0.016118633,0.000644745,0.373952289,1673,1850
"218","NH",43.2305,-72.1836,195,0.271794872,0,0.55897436,0,0,0,1673,1850
"219","NH",43.23,-71.95,56,0.017857143,0.035714286,0.714285715,0.035714286,0,0.017857143,1673,1850
"220","NH",43.204,-70.88,145,0.006896552,0.24137931,0.165517241,0.013793103,0.006896552,0.510344828,1673,1850
"221","NH",43.19,-72.07,110,0.036363636,0.009090909,0.818181818,0,0,0,1673,1850
"222","NH",43.1817,-71.4483,350,0.002857143,0.314285714,0.24,0.011428571,0,0.322857143,1673,1850
"223","NH",43.1717,-71.8217,152,0.026315789,0.059210526,0.592105263,0,0,0.111842105,1673,1850
"224","ME",43.165,-70.66,938,0.010660981,0.153518124,0.321961621,0.012793177,0.00533049,0.315565032,1662,1835
"225","NH",43.14,-72.235,909,0.171617162,0.0220022,0.545654565,0.00550055,0,0.00440044,1673,1850
"226","ME",43.13,-70.76,180,0,0.133333333,0.405555555,0.005555556,0.005555556,0.322222222,1662,1835
"227","NH",43.088,-70.9351,188,0.010638298,0.159574468,0.340425532,0.015957447,0.026595745,0.292553191,1673,1850
"228","NH",43.05,-71.97,149,0.020134228,0.013422819,0.731543624,0.006711409,0,0.053691275,1673,1850
"229","NH",43.0231,-72.3293,119,0,0.016806723,0.563025211,0,0.016806723,0.058823529,1673,1850
"230","NH",43.02,-72.11,221,0.049773756,0.058823529,0.588235294,0.009049774,0,0.135746606,1673,1850
"231","NH",43.01,-71.28,2084,0.005278311,0.323416507,0.292706333,0.013435701,0.005278311,0.240882917,1673,1850
"232","NH",43.01,-70.76,63,0,0.079365079,0.603174603,0,0,0.047619048,1673,1850
"233","NH",43,-71.48,106,0,0.566037736,0.132075472,0,0.018867924,0.283018868,1673,1850
"234","NH",42.95,-72.31,650,0.053846154,0.150769231,0.40923077,0.02,0.006153846,0.055384615,1673,1850
"235","NH",42.94,-71.53,101,0,0.663366337,0.03960396,0,0,0.267326733,1673,1850
"236","NH",42.925,-71.061,865,0,0.115606936,0.482080925,0.05433526,0.003468208,0.265895954,1673,1850
"237","NH",42.91,-71.81,90,0.1,0.144444444,0.422222223,0,0,0.155555556,1673,1850
"238","NH",42.89,-71.63,87,0,0.310344828,0.298850575,0,0.011494253,0.32183908,1673,1850
"239","NH",42.8893,-72.4607,124,0.008064516,0.064516129,0.499999999,0,0.016129032,0.10483871,1673,1850
"240","NH",42.8717,-71.3617,604,0.003311258,0.36589404,0.137417219,0.021523179,0.024834437,0.433774834,1673,1850
"241","NH",42.8562,-72.2912,440,0.013636364,0.197727273,0.350000001,0.004545455,0,0.168181818,1673,1850
"242","NH",42.8,-72.42,358,0.008379888,0.203910615,0.37150838,0.005586592,0.025139665,0.159217877,1673,1850
"243","NH",42.79,-71.5,481,0.002079002,0.232848233,0.141372141,0.014553015,0.014553014,0.588357588,1673,1850
"244","NH",42.79,-72.05,95,0.052631579,0.178947368,0.421052631,0.010526316,0,0.010526316,1673,1850
"245","NH",42.77,-72.28,62,0,0.064516129,0.532258065,0,0,0.161290323,1673,1850
"246","NH",42.755,-71.92,126,0.071428571,0.007936508,0.698412699,0.015873016,0,0,1673,1850
"247","VT",44.97,-72.76,112,0.044642857,0,0.803571428,0,0,0,1763,1820
"248","VT",44.97,-72.99,53,0,0.056603774,0.716981133,0,0,0.018867925,1763,1820
"249","VT",44.9683,-72.485,135,0.348148148,0.014814814,0.518518518,0,0,0,1763,1820
"250","VT",44.9583,-71.6983,114,0.719298245,0,0.271929824,0,0,0,1763,1820
"251","VT",44.9512,-72.3036,534,0.269662921,0.043071161,0.558052434,0,0,0,1763,1820
"252","VT",44.8933,-71.5767,91,0.406593407,0,0.582417583,0,0,0,1763,1820
"253","VT",44.882,-73.09,361,0.022160665,0.033240997,0.639889196,0,0,0,1763,1820
"254","VT",44.88,-72.04,86,0.418604651,0.034883721,0.511627908,0,0,0,1763,1820
"255","VT",44.83,-72.76,111,0.072072072,0,0.72072072,0,0,0.009009009,1763,1820
"256","VT",44.81,-72.2833,184,0.282608696,0.010869565,0.581521739,0,0,0,1763,1820
"257","VT",44.81,-72.92,110,0.018181818,0.018181818,0.799999999,0,0,0.009090909,1763,1820
"258","VT",44.8,-72.45,60,0.2,0.033333333,0.616666667,0,0,0,1763,1820
"259","VT",44.79,-71.66,71,0.366197183,0.056338028,0.478873239,0,0,0,1763,1820
"260","VT",44.7617,-72.0167,120,0.275,0,0.700000001,0,0,0,1763,1820
"261","VT",44.75,-71.79,81,0.481481481,0.037037037,0.407407407,0.012345679,0,0,1763,1820
"262","VT",44.74,-73.1243,178,0,0.050561798,0.786516854,0.005617978,0.005617978,0.011235955,1763,1820
"263","VT",44.7067,-71.9267,69,0.376811594,0.043478261,0.550724638,0,0,0,1763,1820
"264","VT",44.7,-73.02,180,0.016666667,0.022222222,0.811111112,0,0.005555556,0.005555556,1763,1820
"265","VT",44.69,-72.23,48,0.333333334,0.041666667,0.541666666,0,0,0,1763,1820
"266","VT",44.6583,-72.0433,87,0.298850575,0.045977011,0.586206898,0,0,0,1763,1820
"267","VT",44.6517,-71.83,138,0.594202898,0,0.347826086,0,0,0,1763,1820
